id,company,created_at,type,num_commits
1732,wundersolutions.com,06/17/09,USR,5900
1735,MagmaLabs,01/16/12,USR,1067
1738,Myself,07/21/12,USR,9686
1740,Contributed Systems,03/12/08,USR,4762
1747,Gridium Inc.,10/07/10,USR,191
1752,WePow,04/14/09,USR,129
1753,UO Consulting,11/04/09,USR,3217
1759,KidsStar Inc.,01/19/11,USR,785
1761,"iCoreTech, Inc.",06/06/08,USR,480
1763,@VoiceLayer ,11/11/10,USR,973
1770,UXtemple,08/25/10,USR,1746
1773,Kwanso,02/17/09,USR,280
1777,SumoCoders,03/18/08,USR,231
1779,"Google Chrome, ♥z",12/08/08,USR,8695
1781,Fight the Current,06/24/10,USR,781
1804,SmartThings,03/03/11,USR,842
1831,Mad Science,04/29/10,USR,14952
1859,Moacir Moda.com,01/05/11,USR,2241
1860,Karlsruhe Institute of Technology,03/22/12,USR,2040
1863,SUSE,01/25/11,USR,1736
1865,UpCloo Ltd. - Corley S.R.L.,01/07/11,USR,3584
1866,SUSE,07/12/08,USR,8429
1867,Quality Solution,10/23/10,USR,3859
1869,appFitoo,04/10/08,USR,1171
1871,SciELO ,12/03/09,USR,3027
1874,Rocket Internet SE,11/28/08,USR,604
1898,Student,07/14/11,USR,476
1901,LinkedIn,07/14/11,USR,143
1903,@laterpay ,01/09/09,USR,3065
1905,@EditLLC ,11/06/09,USR,940
1907,Rackspace,02/03/09,USR,844
1919,Xero,02/02/11,USR,729
1924,VarageSale,12/11/09,USR,252
1925,Twitter,02/12/10,USR,1050
1939,@estudar,12/02/09,USR,807
1940,VMware - Socialcast,12/12/09,USR,256
1941,Pulsus,04/03/08,USR,706
1945,Nubank Brasil,08/31/09,USR,304
1946,"Docker, Inc",02/09/09,USR,65265
1949,StatDNS,06/02/11,USR,1880
1957,ZNC Sistemas,08/19/10,USR,645
1959,@rstudio,09/21/09,USR,4882
1965,Pactera,04/05/12,USR,1085
1966,Red Hat,01/21/09,USR,3351
1968,@globocom,02/06/09,USR,9487
1973,Aeroplane Software LLC,02/21/09,USR,1555
1976,PermanentMarkers,02/08/09,USR,1092
1977,TCL CORPORATION,03/21/09,USR,187
1985,mtod.org,12/29/09,USR,1091
1989,UserTesting.com,01/30/10,USR,338
1990,Adobe Systems Inc.,08/19/10,USR,8687
1991,ServeBox,02/10/11,USR,755
1992,@Sumi-Interactive ,03/03/10,USR,1973
1996,@elastic ,06/25/11,USR,599
2002,Linaro,04/29/10,USR,14301
2007,Bauhaus-Universität Weimar,06/01/09,USR,1056
2016,Carnegie Mellon University,06/05/12,USR,2085
2026,Carnegie Mellon University,07/22/10,USR,2107
2033,CakeDC,11/11/09,USR,1033
2034,Bownty,12/01/08,USR,11081
2043,Freshout,11/13/08,USR,240
2046,PDMLab,05/26/10,USR,458
2047,Exozet Berlin GmbH,11/21/08,USR,1808
2049,Apigee,02/14/09,USR,339
2051,General Assemb.ly,12/09/09,USR,184
2053,GVMachines Inc.,05/14/10,USR,363
2055,not available,04/16/11,USR,230
2056,SUSE Linux GmbH,03/12/08,USR,201
2058,@SMX-LTD and @superstruct ,07/31/10,USR,312
2065,PageCloud,04/23/11,USR,327
2066,International Classical Music Database,10/02/11,USR,507
2069,Gradle,02/03/09,USR,1839
2071,@CakeDC ,05/17/11,USR,320
2077,Mozilla,06/17/10,USR,1745
2078,@google ,07/16/09,USR,1629
2079,Stanford University,09/06/09,USR,407
2080,Mozilla,10/05/08,USR,6203
2081,Mozilla,03/26/11,USR,899
2084,Recruiters go away,10/25/09,USR,13745
2086,Broad Institute,07/22/11,USR,3671
2088,"pork industries, llc.",02/22/08,USR,112
2090,Samizdat Drafting Co.,11/05/10,USR,1082
2094,Freelance,05/26/08,USR,5670
2100,Canonical,03/26/10,USR,857
2101,Flixbus @flix-tech ,08/14/09,USR,757
2105,Occitech,04/21/09,USR,956
2107,Red Hat,01/27/09,USR,6992
2114,Hire me!,02/21/09,USR,985
2119,Werkspot.nl,09/26/13,USR,1247
2122,Basecamp,03/08/08,USR,2091
2123,Weill Cornell Medicine,05/10/12,USR,1761
2127,Harvard Medical School,11/23/11,USR,1533
2130,"University of British Columbia, BC Cancer Agency Genome Sciences Centre",05/30/10,USR,12127
2137,Life Technologies,02/28/08,USR,222
2138,Sage Bionetworks,05/15/09,USR,1381
2140,"Treasure Data, Inc.",02/24/09,USR,8396
2146,"Cognitect, Inc",02/27/08,USR,5958
2147,Moz,01/26/09,USR,10300
2148,LockState,06/17/08,USR,506
2149,@CaseCommons,11/14/09,USR,1318
2152,Brain Bytes Creative LLC,02/01/11,USR,161
2157,@soundcloud,07/01/10,USR,639
2159,Code Climate,01/13/08,USR,1713
2160,C42 Engineering,02/05/10,USR,105
2161,GO-JEK,07/31/08,USR,724
2163,Slides,02/21/11,USR,2150
2164,Big Nerd Ranch,07/20/10,USR,2027
2167,"HarleyPig, LLC",01/24/10,USR,959
2170,Serial Graphics,09/20/11,USR,109
2173,Alsacreations,11/21/10,USR,795
2175,"Comal Productions, Inc.",09/03/09,USR,2189
2177,@change ,01/30/12,USR,540
2179,@maxmind,01/31/09,USR,16678
2182,G5,12/22/08,USR,906
2184,@salesforce-ux ,04/08/08,USR,167
2186,Mozilla,01/15/11,USR,896
2190,Serial Graphics,09/30/09,USR,2214
2194,Red Hat,02/19/10,USR,4438
2196,CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences,07/30/12,USR,810
2198,NodeSource,04/16/11,USR,1494
2201,Pierlis,02/13/09,USR,9372
2202,Oak Ridge National Laboratory,10/06/11,USR,2379
2209,Thomson Reuters,10/06/11,USR,245
2210,@lsst,09/28/10,USR,4068
2211,Oak Ridge National Laboratory,01/03/12,USR,567
2212,Microsoft,03/15/12,USR,1038
2213,@ImageOptim ,04/09/09,USR,5757
2214,Voormedia,04/27/09,USR,1040
2217,ebay,06/22/11,USR,1213
2219,Facebook,05/21/12,USR,125
2223,thePHP.cc,09/18/08,USR,14383
2224,Facebook,01/28/09,USR,489
2229,Manuka Coalition,05/13/08,USR,11953
2232,Health Hero,04/09/10,USR,926
2235,@tvoli ,08/10/11,USR,1064
2236,"National Institute of Technology,Calicut ",08/20/11,USR,599
2239,Founder @ CodePath,04/11/08,USR,6702
2241,Koding,05/27/12,USR,3230
2245,MemSQL,07/20/12,USR,363
2246,"NUBEE Tokyo Co,. Ltd.",04/25/11,USR,451
2254,@Mapbox,07/21/08,USR,5903
2259,BinaryAge,04/06/08,USR,10485
2261,Pixar Animation Studios,03/14/08,USR,121
2262,Codeminer 42,03/11/08,USR,1372
2263,Locaweb,03/17/09,USR,1779
2264,Postmates,02/23/08,USR,4606
2265,Longform.org,06/06/08,USR,271
2268,Gentle Bytes,04/24/09,USR,1090
2272,Canary,02/16/09,USR,3502
2274,The High Technology Bureau,09/08/08,USR,661
2282,exygen.io,03/26/08,USR,616
2283,PixelEspresso,11/04/08,USR,320
2284,"Bytedance, Inc",06/23/08,USR,1302
2286,"Inview Technologies, Inc",03/13/10,USR,188
2301,Crossfield Digital,02/25/09,USR,788
2302,浙江顺文网络科技,03/28/08,USR,186
2308,LearnUp,03/24/08,USR,2297
2317,"Fast Wombat, LLC",01/05/11,USR,1474
2321,Magical Panda,07/03/08,USR,505
2322,Dev Bootcamp,08/25/08,USR,173
